Flavor,RMSE,R2,Zero_Ratio,Valid_Days_Count,Total_Days_Count,MAE
Num_Available_Flavors,2.849820796370988,-0.505969536423841,0.0,511,511,2.3364285714285713
BP,0.6122732816549905,0.2961625078908019,0.5303326810176126,240,511,0.5192857142857142
Banana,0.4160442970920971,-1.7285683264032432,0.958904109589041,21,511,0.3878571428571428
Black Licorice,0.2717272792446763,-1.4951379310344826,0.9256360078277887,38,511,0.2278571428571428
Blue Moon,0.32851397013129985,0.3132272727272728,0.5322896281800391,239,511,0.23928571428571427
Bord,0.3605551275463989,-0.5489361702127655,0.6301369863013698,189,511,0.30857142857142844
Brownie,0.6711929677819933,-0.4475081967213106,0.9197651663405088,41,511,0.6157142857142857
CC,0.27535691124689166,-0.13324233435262345,0.6536203522504892,177,511,0.19357142857142853
CCC,0.44558949718322577,0.2544865900383143,0.5616438356164384,224,511,0.3078571428571428
Cham,0.4736409128081254,0.452251484608284,0.5538160469667319,228,511,0.3407142857142857
Cher Chzcke,0.35781080395730286,-0.14406598065989829,0.5499021526418787,230,511,0.3342857142857142
Choc,0.3434800888385984,-0.9026140187761753,0.5401174168297456,235,511,0.2978571428571429
Cinn,0.4481390090458221,0.0,0.9275929549902152,37,511,0.4414285714285714
Coco,0.228129036167817,0.24406204376857366,0.547945205479452,231,511,0.16714285714285718
Coffee,0.2888647731082091,-0.09516060989573938,0.589041095890411,210,511,0.22714285714285712
DCC,0.5150797441728251,0.2487007629992325,0.487279843444227,262,511,0.3892857142857143
DCFS,0.4025720875995822,0.0,0.8669275929549902,68,511,0.40071428571428563
DT,0.22998447152548615,0.1149679435191272,0.5733855185909981,218,511,0.16642857142857143
Death,0.5011914376192567,-0.12217114125318829,0.4911937377690802,260,511,0.4121428571428571
Dough,0.3274577399124526,0.14404753662380831,0.5499021526418787,230,511,0.23857142857142857
ET,0.41020029950535836,0.11344623655914021,0.589041095890411,210,511,0.30785714285714283
Harley,0.3407240190283877,0.0,0.8062622309197651,99,511,0.3407142857142857
MCC,0.32495054568788945,-0.09656294208342842,0.5362035225048923,237,511,0.27928571428571425
MO,0.22625838579565874,0.009858195920541934,0.5851272015655578,212,511,0.14785714285714294
Maple,0.3509884002967294,-0.29027397040670766,0.7847358121330724,110,511,0.3078571428571428
Mocha Chip,0.30063029027124233,-0.18618962480831946,0.5714285714285714,219,511,0.20500000000000002
Mudd,0.3669955235227186,0.09749059829059836,0.5205479452054794,245,511,0.2742857142857143
Oreo,0.3833126288404433,-0.25680269882210194,0.5949119373776908,207,511,0.2928571428571428
P Pecan,0.36107973001619936,0.0,0.9275929549902152,37,511,0.3521428571428572
PBC,0.4156320488124081,-0.2633955223880595,0.5831702544031311,213,511,0.36785714285714294
Peanut Butter,0.3937820281758497,0.0,0.9178082191780822,42,511,0.3935714285714285
Pist,0.22222896815157622,-0.5832638173282951,0.7162426614481409,145,511,0.15857142857142856
Prail,0.30397368307141326,0.054469893545372794,0.6614481409001957,173,511,0.25857142857142856
Pumpkin,0.42004251485500166,0.0,0.8943248532289628,54,511,0.4078571428571428
RB Float,0.42289816403344344,-1.2985704918032792,0.7436399217221135,131,511,0.4071428571428572
Ras,0.25528695339054946,-1.2434620721147933,0.9452054794520548,28,511,0.21285714285714283
S Sorbet,0.39778852960551075,-0.914456790123457,0.7045009784735812,151,511,0.38071428571428567
Sticky Buns,0.4337626078859264,0.0,0.9530332681017613,24,511,0.43357142857142855
Straw,0.2538419080564009,-0.37276086956521715,0.6673189823874756,170,511,0.19357142857142856
T,0.49391294779545925,-1.060956896551724,0.7475538160469667,129,511,0.39214285714285707
V,1.034225037683496,0.178032704485369,0.46966731898238745,271,511,0.6678571428571428
What the Tella,0.5614521987031234,0.0,0.949119373776908,26,511,0.5614285714285716
