Date,Day_of_Week,Total_Sales,Day_of_Year,Is_Weekend,Num_Available_Flavors,BP,Banana,Beach Road,Black Licorice,Blue Moon,Bord,Brownie,CC,CCC,Cham,Cher Chzcke,Choc,Cinn,Coco,Coffee,DCC,DCFS,DT,Death,Dirt Cake,Dough,ET,Egg Nog,Fish Boil,Harley,MCC,MO,Mango Sorbet,Maple,Mocha Chip,Mocha Fudge Chzcake,Mudd,Newport,Oreo,Oreo Chz,P Pecan,PBC,Peanut Butter,Pist,Prail,Pumpkin,RB Float,Ras,Ras Sorbet,Rum Raisin,S Sorbet,Shark Week,Sticky Buns,Straw,T,V,Watermellon Sorbet,What the Tella
2024-05-10,Friday,15.5,131,False,28,0.5,-1.0,-1.0,-1.0,0.5,0.25,-1.0,0.0,1.25,0.5,1.25,1.25,-1.0,0.25,0.25,2.0,-1.0,0.5,0.5,-1.0,0.5,0.5,-1.0,-1.0,0.0,0.25,0.25,-1.0,-1.0,0.25,-1.0,0.5,-1.0,0.25,-1.0,-1.0,0.25,-1.0,0.25,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,0.75,-1.0,-1.0,1.0,0.5,1.0,-1.0,-1.0
2024-05-11,Saturday,15.5,132,True,28,0.5,-1.0,-1.0,-1.0,0.5,0.25,-1.0,0.0,1.25,0.5,1.25,1.25,-1.0,0.25,0.25,2.0,-1.0,0.5,0.5,-1.0,0.5,0.5,-1.0,-1.0,0.0,0.25,0.25,-1.0,-1.0,0.25,-1.0,0.5,-1.0,0.25,-1.0,-1.0,0.25,-1.0,0.25,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,0.75,-1.0,-1.0,1.0,0.5,1.0,-1.0,-1.0
2024-05-12,Sunday,15.5,133,True,28,0.5,-1.0,-1.0,-1.0,0.5,0.25,-1.0,0.0,1.25,0.5,1.25,1.25,-1.0,0.25,0.25,2.0,-1.0,0.5,0.5,-1.0,0.5,0.5,-1.0,-1.0,0.0,0.25,0.25,-1.0,-1.0,0.25,-1.0,0.5,-1.0,0.25,-1.0,-1.0,0.25,-1.0,0.25,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,0.75,-1.0,-1.0,1.0,0.5,1.0,-1.0,-1.0
2024-05-13,Monday,15.5,134,False,28,0.5,-1.0,-1.0,-1.0,0.5,0.25,-1.0,0.0,1.25,0.5,1.25,1.25,-1.0,0.25,0.25,2.0,-1.0,0.5,0.5,-1.0,0.5,0.5,-1.0,-1.0,0.0,0.25,0.25,-1.0,-1.0,0.25,-1.0,0.5,-1.0,0.25,-1.0,-1.0,0.25,-1.0,0.25,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,0.75,-1.0,-1.0,1.0,0.5,1.0,-1.0,-1.0
2024-05-14,Tuesday,8.71,135,False,28,0.14,-1.0,-1.0,-1.0,0.43,0.0,-1.0,0.14,0.57,0.29,0.0,0.14,-1.0,0.29,0.14,0.57,-1.0,0.29,0.57,-1.0,0.43,0.29,-1.0,-1.0,0.14,0.29,0.29,-1.0,-1.0,0.14,-1.0,0.29,-1.0,0.29,-1.0,-1.0,0.29,-1.0,0.14,0.43,-1.0,0.14,-1.0,-1.0,-1.0,0.14,-1.0,-1.0,0.14,0.14,1.57,-1.0,-1.0
2024-05-15,Wednesday,8.71,136,False,27,0.14,-1.0,-1.0,-1.0,0.43,0.0,-1.0,0.14,0.57,0.29,0.0,0.14,-1.0,0.29,0.14,0.57,-1.0,0.29,0.57,-1.0,0.43,0.29,-1.0,-1.0,0.14,0.29,0.29,-1.0,-1.0,0.14,-1.0,0.29,-1.0,0.29,-1.0,-1.0,0.29,-1.0,0.14,0.43,-1.0,0.14,-1.0,-1.0,-1.0,0.14,-1.0,-1.0,0.14,0.14,1.57,-1.0,-1.0
2024-05-16,Thursday,8.71,137,False,27,0.14,-1.0,-1.0,-1.0,0.43,0.0,-1.0,0.14,0.57,0.29,0.0,0.14,-1.0,0.29,0.14,0.57,-1.0,0.29,0.57,-1.0,0.43,0.29,-1.0,-1.0,0.14,0.29,0.29,-1.0,-1.0,0.14,-1.0,0.29,-1.0,0.29,-1.0,-1.0,0.29,-1.0,0.14,0.43,-1.0,0.14,-1.0,-1.0,-1.0,0.14,-1.0,-1.0,0.14,0.14,1.57,-1.0,-1.0
2024-05-17,Friday,8.71,138,False,27,0.14,-1.0,-1.0,-1.0,0.43,0.0,-1.0,0.14,0.57,0.29,0.0,0.14,-1.0,0.29,0.14,0.57,-1.0,0.29,0.57,-1.0,0.43,0.29,-1.0,-1.0,0.14,0.29,0.29,-1.0,-1.0,0.14,-1.0,0.29,-1.0,0.29,-1.0,-1.0,0.29,-1.0,0.14,0.43,-1.0,0.14,-1.0,-1.0,-1.0,0.14,-1.0,-1.0,0.14,0.14,1.57,-1.0,-1.0
2024-05-18,Saturday,8.71,139,True,29,0.14,-1.0,-1.0,-1.0,0.43,-1.0,-1.0,0.14,0.57,0.29,-1.0,0.14,-1.0,0.29,0.14,0.57,-1.0,0.29,0.57,-1.0,0.43,0.29,-1.0,-1.0,0.14,0.29,0.29,-1.0,-1.0,0.14,-1.0,0.29,-1.0,0.29,-1.0,-1.0,0.29,-1.0,0.14,0.43,-1.0,0.14,-1.0,-1.0,-1.0,0.14,-1.0,-1.0,0.14,0.14,1.57,-1.0,-1.0
2024-05-19,Sunday,8.71,140,True,27,0.14,-1.0,-1.0,-1.0,0.43,0.0,-1.0,0.14,0.57,0.29,0.0,0.14,-1.0,0.29,0.14,0.57,-1.0,0.29,0.57,-1.0,0.43,0.29,-1.0,-1.0,0.14,0.29,0.29,-1.0,-1.0,0.14,-1.0,0.29,-1.0,0.29,-1.0,-1.0,0.29,-1.0,0.14,0.43,-1.0,0.14,-1.0,-1.0,-1.0,0.14,-1.0,-1.0,0.14,0.14,1.57,-1.0,-1.0
2024-05-20,Monday,8.71,141,False,27,0.14,-1.0,-1.0,-1.0,0.43,0.0,-1.0,0.14,0.57,0.29,0.0,0.14,-1.0,0.29,0.14,0.57,-1.0,0.29,0.57,-1.0,0.43,0.29,-1.0,-1.0,0.14,0.29,0.29,-1.0,-1.0,0.14,-1.0,0.29,-1.0,0.29,-1.0,-1.0,0.29,-1.0,0.14,0.43,-1.0,0.14,-1.0,-1.0,-1.0,0.14,-1.0,-1.0,0.14,0.14,1.57,-1.0,-1.0
2024-05-21,Tuesday,7.25,142,False,27,0.25,-1.0,-1.0,-1.0,0.25,0.25,-1.0,0.25,0.25,0.0,0.0,0.0,-1.0,-1.0,0.0,0.75,-1.0,0.0,0.5,-1.0,0.0,0.25,-1.0,-1.0,-1.0,0.25,0.0,-1.0,-1.0,0.25,-1.0,0.5,-1.0,0.25,-1.0,-1.0,0.25,-1.0,0.25,0.5,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.25,0.25,1.75,-1.0,-1.0
2024-05-22,Wednesday,7.25,143,False,28,0.25,-1.0,-1.0,-1.0,0.25,0.25,-1.0,0.25,0.25,0.0,0.0,0.0,-1.0,-1.0,0.0,0.75,-1.0,0.0,0.5,-1.0,0.0,0.25,-1.0,-1.0,-1.0,0.25,0.0,-1.0,-1.0,0.25,-1.0,0.5,-1.0,0.25,-1.0,-1.0,0.25,-1.0,0.25,0.5,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.25,0.25,1.75,-1.0,-1.0
2024-05-23,Thursday,7.25,144,False,27,0.25,-1.0,-1.0,-1.0,0.25,0.25,-1.0,0.25,0.25,0.0,0.0,0.0,-1.0,-1.0,0.0,0.75,-1.0,0.0,0.5,-1.0,0.0,0.25,-1.0,-1.0,-1.0,0.25,0.0,-1.0,-1.0,0.25,-1.0,0.5,-1.0,0.25,-1.0,-1.0,0.25,-1.0,0.25,0.5,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.25,0.25,1.75,-1.0,-1.0
